test_store,control_store,abs_perc_diff
1080,1097,5.87718
3121,3364,0.174136
2668,3195,3.64846
7220,3088,0.464979
3118,3092,1.17537
2770,1345,1.59211
1338,2048,0.496268
5677,4431,0.290656
2552,5646,0.787275
3964,2782,0.458435
3173,2568,0.876695
1208,5665,2.4781
1167,3128,3.3813
2612,2706,3.4156
3151,3223,0.309094
1275,3182,2.4171
3285,2616,0.808814
2510,3053,0.68375
1105,2502,0.652083
1198,2601,0.376767
2554,1236,0.482438
2900,3119,0.845859
2690,1170,0.220107
4373,3940,0.650372
2541,5681,0.732777
1108,3160,0.893451
1221,7018,0.695262
3060,4600,10.6193
3061,5687,0.464707
2518,5610,0.857212
1641,1206,0.680774
4398,3162,1.68958
5604,1771,0.72565
1308,1341,1.06523
2593,3281,0.220888
5945,3136,0.755695
1280,3303,3.21304
2340,7214,0.590306
1331,4857,0.753737
1310,4155,3.19984
4782,2693,0.586852
2661,4309,1.38466
5653,2564,0.785523
2556,1261,0.335851
3268,1323,1.6347
1168,1162,1.2265
2686,1159,2.49211
7215,2866,1.81294
2588,3244,0.740743
1272,3153,0.621227
4813,1413,2.58161
4313,1364,1.99157
2655,7222,2.71929
3266,1109,3.16346
4394,3345,0.378724
2643,5702,1.20766
1189,1961,1.09437
1941,3149,0.211252
1268,3809,0.267673
5318,2548,0.883642
3196,2645,0.785095
4335,1621,0.436899
3002,3336,1.20165
1648,2572,2.04859
2638,2619,0.834401
2570,1024,1.56509
1249,5602,0.813566
4360,2562,0.452191
1069,4381,0.560209
5642,2308,1.30946
2617,3211,0.965131
1603,1181,0.527036
1171,4312,0.328067
3804,4625,0.344307
2557,1133,0.36209
3147,2173,0.372245
7005,2078,0.71863
1121,2639,2.52963
2680,2711,0.154494
2507,2673,1.09844
1244,1366,3.84892
1137,3140,1.78312
1287,3901,1.36345
1416,4346,0.457534
5639,2608,0.962996
3143,1286,1.60902
1152,3716,0.637308
1997,2941,0.478301
5311,3779,3.17558
3100,3114,0.730281
2577,3306,0.863501
4317,5674,0.433805
5798,1632,0.353503
5603,2519,0.521981
4352,1609,0.58833
1199,2824,0.572703
2003,3274,0.77222
2505,2015,0.24231
4328,1008,0.240343
1147,1122,1.22357
5616,1115,0.552171
1173,2887,1.77445
3219,2650,1.36739
4361,3159,0.781105
3142,1245,0.787279
1336,2508,1.25127
3184,5619,1.71703
3805,1344,0.200822
2506,5615,6.49015
1293,4603,0.517554
2742,3127,2.3511
5673,1273,1.04126
3108,1127,0.53465
5547,2596,1.09386
1002,1400,2.97021
3165,1332,2.0871
1294,1070,1.20079
4370,2695,3.14281
4343,5631,2.606
4395,3494,0.919966
5003,1226,1.69831
7202,1144,0.347883
1561,1160,0.491815
1204,2760,0.382247
4320,4231,1.61828
7216,1339,0.56243
4375,3250,0.436386
2665,1126,0.912185
3189,1195,0.7675
3148,5661,1.26897
3174,4329,3.08195
1100,3384,0.862927
4374,1932,2.81829
4630,1103,0.333592
3146,2842,0.211075
1434,5664,0.0508173
2651,1099,3.68337
3352,2630,0.367091
3361,4345,0.209541
2159,1087,0.338258
3193,3923,1.17055
1092,3301,1.81912
2516,3075,1.1609
2620,1470,0.154772
3318,3807,0.373025
2137,1259,2.38745
2624,1242,2.22046
2662,1422,0.441209
1179,4369,3.37718
4366,4318,0.251646
3283,5652,0.416243
3130,1288,0.628313
3275,2674,1.22456
3135,2563,0.594871
5654,4326,0.837641
2567,2613,1.04788
3167,3304,0.727627
3034,4372,0.528066
1224,2723,2.03566
3325,4029,2.0342
